date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-05-10,30.92,38.83,22.8,36.61,0.14,0.98,1.97,0.43,32.7,0.21,0.23,0.24
2014-05-11,31.53,39.64,24.05,22.37,0.01,1.13,1.86,0.53,35.4,0.19,0.23,0.24
2014-05-12,31.77,40.45,23.63,26.13,0.15,0.91,1.74,0.11,77.9,0.18,0.23,0.24
2014-05-13,29.25,33.3,25.24,54.96,0.57,1.62,2.68,0.49,77.7,0.19,0.23,0.24
2014-05-14,30.01,37.0,23.66,41.89,0.01,1.66,2.61,0.63,61.8,0.2,0.23,0.24
2014-05-15,30.29,38.37,23.95,28.0,0.0,1.43,2.35,0.65,77.0,0.18,0.23,0.24
2014-05-16,30.91,40.1,22.64,27.41,0.0,0.95,1.49,0.6,101.2,0.18,0.23,0.23
2014-05-17,31.45,40.99,22.73,31.18,0.0,1.15,1.99,0.62,118.3,0.17,0.23,0.23
2014-05-18,33.08,41.65,24.98,35.47,0.0,0.85,1.23,0.35,125.4,0.17,0.22,0.23
2014-05-19,33.18,42.02,25.11,34.58,0.0,1.0,1.75,0.43,278.7,0.17,0.22,0.23
2014-05-20,33.09,41.41,25.83,39.97,0.0,1.33,2.36,0.6,109.8,0.17,0.22,0.23
2014-05-21,32.42,42.02,24.46,24.41,0.01,1.05,2.44,0.12,80.8,0.16,0.22,0.23
2014-05-22,32.11,41.45,23.32,39.18,0.29,0.95,1.78,0.44,159.9,0.16,0.22,0.23
2014-05-23,33.95,42.1,26.79,34.38,0.18,1.03,1.87,0.24,207.8,0.17,0.22,0.23
2014-05-24,33.25,42.06,25.54,37.18,0.13,1.0,1.74,0.37,208.3,0.17,0.22,0.23
2014-05-25,33.69,42.16,26.2,38.3,0.26,1.04,1.86,0.17,184.4,0.17,0.22,0.23
2014-05-26,33.89,42.13,26.91,35.18,1.96,0.94,1.89,0.46,64.0,0.2,0.22,0.23
2014-05-27,33.15,40.31,26.26,45.68,1.12,1.01,1.69,0.42,146.6,0.23,0.22,0.23
2014-05-28,30.68,35.47,26.46,58.11,7.35,0.95,1.85,0.46,205.6,0.33,0.23,0.24
